CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib2.py
MEM 86.085938 1543730768.2224
MEM 86.085938 1543730768.3231
MEM 86.085938 1543730768.4278
MEM 86.085938 1543730768.5314
MEM 86.085938 1543730768.6360
MEM 86.085938 1543730768.7396
MEM 86.085938 1543730768.8399
MEM 86.085938 1543730768.9409
MEM 86.085938 1543730769.0461
MEM 86.085938 1543730769.1484
MEM 86.085938 1543730769.2536
MEM 86.085938 1543730769.3542
MEM 86.085938 1543730769.4552
MEM 86.085938 1543730769.5587
MEM 86.085938 1543730769.6593
MEM 86.085938 1543730769.7619
MEM 86.085938 1543730769.8659
MEM 86.085938 1543730769.9710
MEM 86.085938 1543730770.0736
MEM 86.085938 1543730770.1782
MEM 86.085938 1543730770.2828
MEM 86.085938 1543730770.3880
MEM 86.085938 1543730770.4899
MEM 86.085938 1543730770.5903
MEM 86.085938 1543730770.6947
MEM 86.085938 1543730770.7955
MEM 86.085938 1543730770.9007
MEM 86.085938 1543730771.0045
MEM 86.085938 1543730771.1048
MEM 86.085938 1543730771.2062
MEM 86.085938 1543730771.3089
MEM 86.085938 1543730771.4094
MEM 86.085938 1543730771.5146
MEM 86.085938 1543730771.6198
MEM 86.085938 1543730771.7215
MEM 86.089844 1543730771.8232
MEM 86.089844 1543730771.9283
MEM 86.089844 1543730772.0284
MEM 86.089844 1543730772.1291
MEM 86.089844 1543730772.2301
MEM 86.089844 1543730772.3346
MEM 86.089844 1543730772.4391
MEM 86.089844 1543730772.5396
MEM 86.089844 1543730772.6399
MEM 86.089844 1543730772.7420
MEM 86.089844 1543730772.8450
MEM 86.089844 1543730772.9466
MEM 86.089844 1543730773.0478
MEM 86.089844 1543730773.1518
MEM 86.089844 1543730773.2567
MEM 86.089844 1543730773.3572
MEM 86.089844 1543730773.4582
MEM 86.089844 1543730773.5605
MEM 86.089844 1543730773.6612
MEM 86.089844 1543730773.7618
MEM 86.089844 1543730773.8620
MEM 86.089844 1543730773.9643
MEM 86.089844 1543730774.0693
MEM 86.089844 1543730774.1721
MEM 86.089844 1543730774.2752
MEM 86.089844 1543730774.3754
MEM 86.089844 1543730774.4783
MEM 86.089844 1543730774.5790
MEM 86.089844 1543730774.6813
MEM 86.089844 1543730774.7818
MEM 86.089844 1543730774.8820
MEM 86.089844 1543730774.9872
MEM 86.089844 1543730775.0894
MEM 86.089844 1543730775.1900
MEM 86.089844 1543730775.2908
MEM 86.089844 1543730775.3952
MEM 86.089844 1543730775.4958
MEM 86.089844 1543730775.5980
MEM 86.089844 1543730775.6989
MEM 86.089844 1543730775.7994
MEM 86.089844 1543730775.8996
MEM 86.089844 1543730776.0020
MEM 86.089844 1543730776.1054
MEM 86.089844 1543730776.2057
MEM 86.089844 1543730776.3063
MEM 86.089844 1543730776.4098
MEM 86.089844 1543730776.5101
MEM 86.089844 1543730776.6109
MEM 86.089844 1543730776.7159
MEM 86.089844 1543730776.8191
MEM 86.089844 1543730776.9229
MEM 86.089844 1543730777.0239
MEM 86.089844 1543730777.1251
MEM 86.089844 1543730777.2272
MEM 86.089844 1543730777.3278
MEM 86.089844 1543730777.4286
MEM 86.089844 1543730777.5290
MEM 86.089844 1543730777.6321
MEM 86.089844 1543730777.7364
MEM 86.089844 1543730777.8393
MEM 86.089844 1543730777.9408
MEM 86.089844 1543730778.0429
MEM 86.089844 1543730778.1444
MEM 86.089844 1543730778.2453
MEM 86.089844 1543730778.3461
MEM 86.089844 1543730778.4474
MEM 86.089844 1543730778.5508
MEM 86.093750 1543730778.6511
MEM 86.093750 1543730778.7538
MEM 86.093750 1543730778.8554
MEM 86.093750 1543730778.9557
MEM 86.093750 1543730779.0571
MEM 86.093750 1543730779.1588
MEM 86.093750 1543730779.2598
MEM 86.093750 1543730779.3600
MEM 86.093750 1543730779.4652
MEM 86.093750 1543730779.5704
MEM 86.093750 1543730779.6727
MEM 86.093750 1543730779.7738
MEM 86.093750 1543730779.8740
MEM 86.093750 1543730779.9743
MEM 86.093750 1543730780.0752
MEM 86.093750 1543730780.1761
MEM 86.093750 1543730780.2768
MEM 86.093750 1543730780.3792
MEM 86.093750 1543730780.4840
MEM 86.093750 1543730780.5892
MEM 86.093750 1543730780.6907
MEM 86.093750 1543730780.7916
MEM 86.093750 1543730780.8959
MEM 86.093750 1543730781.0010
MEM 86.093750 1543730781.1048
MEM 86.093750 1543730781.2059
MEM 86.093750 1543730781.3071
MEM 86.093750 1543730781.4076
MEM 86.093750 1543730781.5126
MEM 86.093750 1543730781.6131
MEM 86.093750 1543730781.7160
MEM 86.093750 1543730781.8211
MEM 86.093750 1543730781.9227
MEM 86.093750 1543730782.0233
MEM 86.093750 1543730782.1265
MEM 86.093750 1543730782.2293
MEM 86.093750 1543730782.3309
MEM 86.097656 1543730782.4311
MEM 86.097656 1543730782.5332
MEM 86.097656 1543730782.6374
MEM 86.097656 1543730782.7392
MEM 87.921875 1543730782.8394
MEM 87.933594 1543730782.9399
MEM 87.937500 1543730783.0407
MEM 87.945312 1543730783.1419
MEM 87.945312 1543730783.2439
MEM 87.945312 1543730783.3488
MEM 87.945312 1543730783.4503
MEM 87.945312 1543730783.5555
MEM 87.945312 1543730783.6558
MEM 87.945312 1543730783.7578
MEM 87.945312 1543730783.8587
MEM 87.945312 1543730783.9608
MEM 87.945312 1543730784.0623
MEM 87.945312 1543730784.1655
MEM 87.945312 1543730784.2687
MEM 87.945312 1543730784.3726
MEM 87.945312 1543730784.4730
MEM 87.945312 1543730784.5732
MEM 87.945312 1543730784.6737
MEM 87.945312 1543730784.7782
MEM 87.945312 1543730784.8798
MEM 87.945312 1543730784.9850
MEM 87.945312 1543730785.0891
MEM 87.945312 1543730785.1914
MEM 87.945312 1543730785.2921
MEM 87.945312 1543730785.3967
MEM 87.945312 1543730785.5002
MEM 87.945312 1543730785.6053
MEM 87.945312 1543730785.7065
MEM 87.945312 1543730785.8076
MEM 87.945312 1543730785.9079
MEM 87.945312 1543730786.0085
MEM 87.945312 1543730786.1088
MEM 87.945312 1543730786.2131
MEM 87.960938 1543730786.3148
MEM 87.960938 1543730786.4180
MEM 87.960938 1543730786.5225
MEM 87.960938 1543730786.6229
MEM 87.960938 1543730786.7239
MEM 87.960938 1543730786.8247
MEM 87.960938 1543730786.9253
MEM 87.960938 1543730787.0263
MEM 87.960938 1543730787.1287
MEM 87.960938 1543730787.2296
MEM 87.960938 1543730787.3348
MEM 87.960938 1543730787.4390
MEM 87.960938 1543730787.5397
MEM 87.960938 1543730787.6440
MEM 87.960938 1543730787.7455
MEM 87.960938 1543730787.8462
MEM 87.960938 1543730787.9469
MEM 87.960938 1543730788.0474
MEM 87.960938 1543730788.1510
MEM 87.960938 1543730788.2562
MEM 87.960938 1543730788.3604
MEM 87.960938 1543730788.4653
MEM 87.960938 1543730788.5705
MEM 87.960938 1543730788.6743
MEM 87.960938 1543730788.7750
MEM 87.960938 1543730788.8802
MEM 87.960938 1543730788.9810
MEM 87.960938 1543730789.0813
MEM 87.960938 1543730789.1852
MEM 87.960938 1543730789.2865
MEM 87.960938 1543730789.3902
MEM 87.960938 1543730789.4917
MEM 87.960938 1543730789.5920
MEM 87.960938 1543730789.6960
MEM 87.960938 1543730789.7965
MEM 87.960938 1543730789.8970
MEM 87.960938 1543730789.9980
MEM 87.960938 1543730790.1032
MEM 87.960938 1543730790.2079
MEM 87.960938 1543730790.3100
MEM 87.960938 1543730790.4106
MEM 87.960938 1543730790.5108
MEM 87.960938 1543730790.6113
MEM 87.960938 1543730790.7122
MEM 87.960938 1543730790.8154
MEM 87.960938 1543730790.9159
MEM 87.960938 1543730791.0194
MEM 87.960938 1543730791.1224
MEM 87.960938 1543730791.2238
MEM 87.960938 1543730791.3266
MEM 87.960938 1543730791.4302
MEM 87.960938 1543730791.5304
MEM 87.960938 1543730791.6348
MEM 87.960938 1543730791.7395
MEM 87.960938 1543730791.8406
MEM 87.960938 1543730791.9408
MEM 87.960938 1543730792.0444
MEM 87.960938 1543730792.1472
MEM 87.960938 1543730792.2501
MEM 87.960938 1543730792.3551
MEM 87.960938 1543730792.4574
MEM 87.960938 1543730792.5590
MEM 87.960938 1543730792.6604
MEM 87.960938 1543730792.7612
MEM 87.960938 1543730792.8642
MEM 87.960938 1543730792.9664
MEM 87.960938 1543730793.0666
MEM 87.960938 1543730793.1718
MEM 87.960938 1543730793.2754
MEM 87.960938 1543730793.3806
MEM 87.960938 1543730793.4810
MEM 87.960938 1543730793.5829
MEM 87.960938 1543730793.6844
MEM 87.960938 1543730793.7896
MEM 87.960938 1543730793.8919
MEM 87.960938 1543730793.9948
MEM 87.960938 1543730794.0951
MEM 88.359375 1543730794.1970
MEM 88.359375 1543730794.2985
MEM 88.359375 1543730794.4037
MEM 88.359375 1543730794.5077
MEM 88.359375 1543730794.6084
MEM 88.359375 1543730794.7087
MEM 88.359375 1543730794.8090
MEM 88.359375 1543730794.9094
MEM 88.359375 1543730795.0097
MEM 88.359375 1543730795.1125
MEM 88.359375 1543730795.2143
MEM 88.359375 1543730795.3151
MEM 88.359375 1543730795.4179
MEM 88.359375 1543730795.5223
MEM 88.359375 1543730795.6250
MEM 88.359375 1543730795.7264
MEM 88.359375 1543730795.8289
MEM 88.359375 1543730795.9310
MEM 88.359375 1543730796.0337
MEM 88.359375 1543730796.1387
MEM 88.359375 1543730796.2437
MEM 88.359375 1543730796.3474
MEM 88.359375 1543730796.4491
MEM 88.359375 1543730796.5543
MEM 88.359375 1543730796.6577
MEM 88.359375 1543730796.7585
MEM 88.359375 1543730796.8597
MEM 88.359375 1543730796.9600
MEM 88.359375 1543730797.0652
MEM 88.359375 1543730797.1683
MEM 88.359375 1543730797.2722
MEM 88.359375 1543730797.3744
MEM 88.359375 1543730797.4746
MEM 88.359375 1543730797.5749
MEM 88.359375 1543730797.6760
MEM 88.359375 1543730797.7763
MEM 88.359375 1543730797.8813
MEM 88.359375 1543730797.9852
MEM 88.359375 1543730798.0887
MEM 88.359375 1543730798.1918
MEM 88.359375 1543730798.2925
MEM 88.359375 1543730798.3940
MEM 88.359375 1543730798.4990
MEM 88.359375 1543730798.5997
MEM 88.359375 1543730798.7018
MEM 88.359375 1543730798.8033
MEM 88.359375 1543730798.9064
MEM 88.359375 1543730799.0082
MEM 88.359375 1543730799.1085
MEM 88.359375 1543730799.2097
MEM 88.359375 1543730799.3131
MEM 88.359375 1543730799.4146
MEM 88.359375 1543730799.5178
MEM 88.359375 1543730799.6222
MEM 88.359375 1543730799.7251
MEM 88.359375 1543730799.8256
MEM 88.359375 1543730799.9266
MEM 88.359375 1543730800.0278
MEM 88.359375 1543730800.1317
MEM 88.359375 1543730800.2365
MEM 88.359375 1543730800.3386
MEM 88.359375 1543730800.4391
MEM 88.359375 1543730800.5418
MEM 88.359375 1543730800.6438
MEM 88.359375 1543730800.7443
MEM 88.359375 1543730800.8465
MEM 88.359375 1543730800.9481
MEM 88.359375 1543730801.0519
MEM 88.359375 1543730801.1556
MEM 88.359375 1543730801.2588
MEM 88.359375 1543730801.3605
MEM 88.359375 1543730801.4610
MEM 88.359375 1543730801.5619
MEM 88.359375 1543730801.6627
MEM 88.359375 1543730801.7652
MEM 88.359375 1543730801.8675
MEM 88.359375 1543730801.9721
MEM 88.359375 1543730802.0769
MEM 88.359375 1543730802.1772
MEM 88.359375 1543730802.2809
MEM 88.359375 1543730802.3837
MEM 88.359375 1543730802.4885
MEM 88.359375 1543730802.5922
MEM 88.359375 1543730802.6925
MEM 88.359375 1543730802.7947
MEM 88.359375 1543730802.8985
MEM 88.359375 1543730803.0007
MEM 88.359375 1543730803.1034
MEM 88.359375 1543730803.2049
MEM 88.359375 1543730803.3079
MEM 88.359375 1543730803.4088
MEM 88.359375 1543730803.5107
MEM 88.359375 1543730803.6150
MEM 88.359375 1543730803.7191
MEM 88.359375 1543730803.8226
MEM 88.359375 1543730803.9259
MEM 88.359375 1543730804.0290
MEM 88.359375 1543730804.1320
MEM 88.359375 1543730804.2333
MEM 88.359375 1543730804.3376
MEM 88.359375 1543730804.4382
MEM 88.359375 1543730804.5434
MEM 88.359375 1543730804.6436
MEM 88.359375 1543730804.7481
MEM 88.359375 1543730804.8507
MEM 88.359375 1543730804.9548
MEM 88.359375 1543730805.0595
MEM 88.359375 1543730805.1599
MEM 88.359375 1543730805.2606
MEM 88.359375 1543730805.3614
MEM 88.359375 1543730805.4666
MEM 88.359375 1543730805.5714
MEM 88.359375 1543730805.6759
MEM 88.359375 1543730805.7762
MEM 88.359375 1543730805.8795
MEM 88.359375 1543730805.9821
MEM 88.359375 1543730806.0823
