"B_Total_Grappling_Reversals_Landed","R_Total_Grappling_Reversals_Landed","B_Total_Grappling_Standups_Landed","R_Total_Grappling_Standups_Landed","B_Total_Grappling_Submissions_Attempts","R_Total_Grappling_Submissions_Attempts","B_Total_Grappling_Takedowns_Attempts","R_Total_Grappling_Takedowns_Attempts","B_Total_Grappling_Takedowns_Landed","R_Total_Grappling_Takedowns_Landed","B_Total_Strikes_Body Significant Strikes_Attempts","R_Total_Strikes_Body Significant Strikes_Attempts","B_Total_Strikes_Body Significant Strikes_Landed","R_Total_Strikes_Body Significant Strikes_Landed","B_Total_Strikes_Body Total Strikes_Attempts","R_Total_Strikes_Body Total Strikes_Attempts","B_Total_Strikes_Body Total Strikes_Landed","R_Total_Strikes_Body Total Strikes_Landed","B_Total_Strikes_Clinch Total Strikes_Attempts","R_Total_Strikes_Clinch Total Strikes_Attempts","B_Total_Strikes_Clinch Total Strikes_Landed","R_Total_Strikes_Clinch Total Strikes_Landed","B_Total_Strikes_Distance Strikes_Attempts","R_Total_Strikes_Distance Strikes_Attempts","B_Total_Strikes_Distance Strikes_Landed","R_Total_Strikes_Distance Strikes_Landed","B_Total_Strikes_Ground Total Strikes_Attempts","R_Total_Strikes_Ground Total Strikes_Attempts","B_Total_Strikes_Ground Total Strikes_Landed","R_Total_Strikes_Ground Total Strikes_Landed","B_Total_Strikes_Head Total Strikes_Attempts","R_Total_Strikes_Head Total Strikes_Attempts","B_Total_Strikes_Head Total Strikes_Landed","R_Total_Strikes_Head Total Strikes_Landed","B_Total_Strikes_Kicks_Attempts","R_Total_Strikes_Kicks_Attempts","B_Total_Strikes_Kicks_Landed","R_Total_Strikes_Kicks_Landed","B_Total_Strikes_Knock Down_Landed","R_Total_Strikes_Knock Down_Landed","B_Total_Strikes_Legs Total Strikes_Attempts","R_Total_Strikes_Legs Total Strikes_Attempts","B_Total_Strikes_Legs Total Strikes_Landed","R_Total_Strikes_Legs Total Strikes_Landed","B_Total_Strikes_Punches_Attempts","R_Total_Strikes_Punches_Attempts","B_Total_Strikes_Punches_Landed","R_Total_Strikes_Punches_Landed","B_Total_Strikes_Total Strikes_Attempts","R_Total_Strikes_Total Strikes_Attempts","B_Total_Strikes_Total Strikes_Landed","R_Total_Strikes_Total Strikes_Landed","B_Total_TIP_Back Control Time","R_Total_TIP_Back Control Time","B_Total_TIP_Clinch Time","R_Total_TIP_Clinch Time","B_Total_TIP_Control Time","R_Total_TIP_Control Time","B_Total_TIP_Distance Time","R_Total_TIP_Distance Time","B_Total_TIP_Ground Control Time","R_Total_TIP_Ground Control Time","B_Total_TIP_Ground Time","R_Total_TIP_Ground Time","B_Total_TIP_Guard Control Time","R_Total_TIP_Guard Control Time","B_Total_TIP_Half Guard Control Time","R_Total_TIP_Half Guard Control Time","B_Total_TIP_Misc. Ground Control Time","R_Total_TIP_Misc. Ground Control Time","B_Total_TIP_Mount Control Time","R_Total_TIP_Mount Control Time","B_Total_TIP_Neutral Time","R_Total_TIP_Neutral Time","B_Total_TIP_Side Control Time","R_Total_TIP_Side Control Time","B_Total_TIP_Standing Time","R_Total_TIP_Standing Time","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_ID","R_ID","B_Weight","R_Weight","B_Location","R_Location","Max_round","winner"
"0","0","0","1","0","5","0","13","0","7","0","45","0","28","0","53","0","36","0","39","0","24","0","280","0","81","0","122","0","105","0","362","0","153","0","5","0","2","0","1","0","22","0","17","0","138","0","94","0","441","0","210","0","23","0","215","0","1156","0","1767","0","1030","0","1218","0","426","0","192","0","78","0","236","0","1801","0","75","0","1982","0","6","0","0","30","31","170","172","2862","1978","65","65","Halifax, Nova Scotia Canada","Spokane, Washington United States","3","blue"
"0","0","4","0","0","0","0","1","0","1","2","14","0","12","2","14","0","12","2","9","2","8","63","84","28","39","4","2","2","2","41","69","17","29","25","0","14","0","1","0","26","12","15","8","34","0","18","0","69","95","32","49","0","0","25","205","2","54","298","449","2","20","34","25","0","0","0","0","2","0","0","3","302","486","0","17","323","654","3","1","0","0","34","36","177","177","1493","407","70","77","San Diego, California USA","Draper, Utah United States","3","red"
"0","0","0","0","0","0","3","5","1","2","13","18","8","12","20","26","14","20","18","24","14","18","78","115","29","43","28","40","23","32","95","138","42","62","6","10","4","7","0","0","9","13","8","11","28","48","14","24","126","180","67","95","10","22","127","180","175","258","414","611","126","186","247","324","38","50","22","36","9","16","34","47","436","637","9","12","542","788","0","0","0","0","33","25","177","177","2273","2466","70","70","Coconut Creek, Florida USA","Makhachkala Russia","3","red"
"0","0","1","0","1","0","0","6","0","0","9","6","6","6","9","7","6","7","19","9","13","8","156","12","55","7","7","7","4","7","165","17","60","11","0","0","0","0","0","1","0","4","0","4","0","0","0","0","182","28","72","22","0","0","96","12","14","2","649","95","4","2","152","2","0","0","0","0","0","0","4","2","651","107","0","0","745","107","1","1","1","1","31","35","177","172","1982","1948","70","70","Bridgewater, Massachusetts USA","Green River, WY USA","3","blue"
"0","0","0","0","0","0","1","1","0","0","4","5","2","3","6","8","4","6","5","7","4","5","23","34","8","13","8","12","7","9","28","41","12","18","2","3","1","2","0","0","2","4","2","3","8","14","4","7","38","54","20","28","3","6","38","54","52","77","124","183","38","55","74","97","11","15","6","11","2","4","10","14","130","191","2","3","162","236","0","0","0","0","37","32","180","190","1781","1294","84","84","Long Island , New York USA","Santa Cruz, California USA","5","red"
"0","0","3","0","0","0","3","0","0","0","7","4","6","3","10","4","9","3","19","11","12","8","74","21","24","10","28","4","24","1","100","32","41","16","11","0","9","0","0","0","11","0","10","0","16","0","7","0","121","36","60","19","0","0","94","8","15","1","724","92","12","0","808","73","0","0","0","0","0","0","12","0","745","99","0","0","818","100","4","1","1","0","46","39","180","182","129","295","84","84","Temecula, California USA","Rio de Janerio Brazil","5","red"
"0","0","1","1","0","1","5","8","2","3","20","28","13","19","30","40","22","30","28","36","21","28","118","173","44","65","43","60","35","49","143","207","64","93","10","16","6","11","0","0","14","20","12","17","42","72","21","37","190","270","101","143","16","33","191","270","263","388","621","917","190","279","371","487","58","75","34","55","14","24","52","71","654","956","14","19","813","1182","0","0","0","0","37","38","162","167","2196","1170","56","61","Dublin Ireland","East London England","3","red"
"0","0","7","1","1","1","2","3","1","1","15","10","11","7","19","42","14","37","9","34","5","22","235","64","77","13","62","74","57","56","255","112","100","46","0","0","0","0","0","0","32","18","25","8","0","0","0","0","306","172","139","91","0","0","75","186","42","369","722","534","26","227","999","261","5","57","0","0","0","0","21","170","750","568","0","0","797","720","2","2","1","1","24","27","177","182","2724","2254","65","65","D'Iberville, Mississippi United States","Auckland New Zealand","3","blue"
"0","0","0","0","0","0","1","2","0","1","6","9","4","6","10","13","7","10","9","12","7","9","39","57","14","21","14","20","11","16","47","69","21","31","3","5","2","3","0","0","4","6","4","5","14","24","7","12","63","90","33","47","5","11","63","90","87","129","207","305","63","93","123","162","19","25","11","18","4","8","17","23","218","318","4","6","271","394","0","0","0","0","27","35","177","172","2141","1948","70","70","Brisbane, Queensland Australia","Green River, WY USA","3","red"
"0","0","0","0","0","0","0","12","0","6","0","8","0","6","0","21","0","19","0","5","0","5","0","72","0","14","0","58","0","53","0","108","0","47","0","15","0","11","0","0","0","6","0","6","0","111","0","65","0","135","0","72","0","0","0","171","0","591","0","292","0","437","0","437","0","113","0","109","0","213","0","0","0","292","0","2","0","463","0","1","0","1","29","28","177","177","2771","1919","70","70","Shermansdale, PA USA","Dagestan Russia","3","red"
"0","0","1","3","0","0","0","3","0","1","15","14","8","8","18","14","11","8","37","10","32","4","52","58","16","22","21","5","18","3","86","54","50","17","0","34","0","15","0","0","6","5","5","4","0","37","0","12","110","73","66","29","0","0","262","43","27","25","294","332","0","0","346","310","0","0","0","0","0","0","0","0","325","349","0","0","556","375","1","1","0","0","32","24","160","165","2352","2344","52","52","San Diego, California United States","Denver, Colorado USA","3","red"
