"B_Total_Grappling_Reversals_Landed","R_Total_Grappling_Reversals_Landed","B_Total_Grappling_Standups_Landed","R_Total_Grappling_Standups_Landed","B_Total_Grappling_Submissions_Attempts","R_Total_Grappling_Submissions_Attempts","B_Total_Grappling_Takedowns_Attempts","R_Total_Grappling_Takedowns_Attempts","B_Total_Grappling_Takedowns_Landed","R_Total_Grappling_Takedowns_Landed","B_Total_Strikes_Body Significant Strikes_Attempts","R_Total_Strikes_Body Significant Strikes_Attempts","B_Total_Strikes_Body Significant Strikes_Landed","R_Total_Strikes_Body Significant Strikes_Landed","B_Total_Strikes_Body Total Strikes_Attempts","R_Total_Strikes_Body Total Strikes_Attempts","B_Total_Strikes_Body Total Strikes_Landed","R_Total_Strikes_Body Total Strikes_Landed","B_Total_Strikes_Clinch Total Strikes_Attempts","R_Total_Strikes_Clinch Total Strikes_Attempts","B_Total_Strikes_Clinch Total Strikes_Landed","R_Total_Strikes_Clinch Total Strikes_Landed","B_Total_Strikes_Distance Strikes_Attempts","R_Total_Strikes_Distance Strikes_Attempts","B_Total_Strikes_Distance Strikes_Landed","R_Total_Strikes_Distance Strikes_Landed","B_Total_Strikes_Ground Total Strikes_Attempts","R_Total_Strikes_Ground Total Strikes_Attempts","B_Total_Strikes_Ground Total Strikes_Landed","R_Total_Strikes_Ground Total Strikes_Landed","B_Total_Strikes_Head Total Strikes_Attempts","R_Total_Strikes_Head Total Strikes_Attempts","B_Total_Strikes_Head Total Strikes_Landed","R_Total_Strikes_Head Total Strikes_Landed","B_Total_Strikes_Kicks_Attempts","R_Total_Strikes_Kicks_Attempts","B_Total_Strikes_Kicks_Landed","R_Total_Strikes_Kicks_Landed","B_Total_Strikes_Knock Down_Landed","R_Total_Strikes_Knock Down_Landed","B_Total_Strikes_Legs Total Strikes_Attempts","R_Total_Strikes_Legs Total Strikes_Attempts","B_Total_Strikes_Legs Total Strikes_Landed","R_Total_Strikes_Legs Total Strikes_Landed","B_Total_Strikes_Punches_Attempts","R_Total_Strikes_Punches_Attempts","B_Total_Strikes_Punches_Landed","R_Total_Strikes_Punches_Landed","B_Total_Strikes_Total Strikes_Attempts","R_Total_Strikes_Total Strikes_Attempts","B_Total_Strikes_Total Strikes_Landed","R_Total_Strikes_Total Strikes_Landed","B_Total_TIP_Back Control Time","R_Total_TIP_Back Control Time","B_Total_TIP_Clinch Time","R_Total_TIP_Clinch Time","B_Total_TIP_Control Time","R_Total_TIP_Control Time","B_Total_TIP_Distance Time","R_Total_TIP_Distance Time","B_Total_TIP_Ground Control Time","R_Total_TIP_Ground Control Time","B_Total_TIP_Ground Time","R_Total_TIP_Ground Time","B_Total_TIP_Guard Control Time","R_Total_TIP_Guard Control Time","B_Total_TIP_Half Guard Control Time","R_Total_TIP_Half Guard Control Time","B_Total_TIP_Misc. Ground Control Time","R_Total_TIP_Misc. Ground Control Time","B_Total_TIP_Mount Control Time","R_Total_TIP_Mount Control Time","B_Total_TIP_Neutral Time","R_Total_TIP_Neutral Time","B_Total_TIP_Side Control Time","R_Total_TIP_Side Control Time","B_Total_TIP_Standing Time","R_Total_TIP_Standing Time","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_ID","R_ID","B_Weight","R_Weight","B_Location","R_Location","Max_round","winner"
"0","0","0","0","0","0","6","1","1","0","6","6","4","3","9","6","7","3","36","10","29","6","15","37","6","15","7","9","6","7","46","46","32","21","19","5","11","5","2","1","3","4","2","4","63","32","53","8","58","56","41","28","0","0","300","107","23","69","213","211","5","2","113","2","0","0","0","0","5","2","0","0","237","222","0","0","513","318","2","2","1","2","36","35","182","185","435","449","84","84","Sunbury, Pennsylvania United States","Rio de Janeiro Brazil","3","red"
"0","2","0","2","0","1","0","3","0","1","0","64","0","51","0","71","0","58","0","84","0","65","0","125","0","56","0","62","0","52","0","184","0","103","0","0","0","0","0","1","0","16","0","12","0","0","0","0","0","271","0","173","0","6","0","389","0","426","0","650","0","189","0","510","0","72","0","0","0","0","0","98","0","737","0","13","0","1039","0","3","0","0","28","27","187","190","2856","2768","93","93","San Diego, California USA","Benevides, Para Brazil","3","blue"
"0","0","2","4","0","2","6","24","2","5","13","139","11","100","13","164","11","125","31","216","21","160","103","1451","56","533","7","98","6","70","100","1441","45","500","56","119","42","86","0","3","28","132","27","111","90","742","44","339","141","1765","83","763","0","37","120","644","51","1036","714","4878","29","468","66","507","0","89","0","125","29","89","0","128","791","4948","0","0","834","5522","1","5","1","0","34","31","165","167","1039","1905","61","61","Alpharetta, Georgia  USA","Denver, Colorado USA","3","red"
"1","0","0","0","0","0","15","0","0","0","28","0","17","0","63","0","51","0","77","0","70","0","139","0","61","0","3","0","3","0","119","0","49","0","0","0","0","0","0","0","37","0","34","0","0","0","0","0","219","0","134","0","0","0","374","0","303","0","499","0","22","0","48","0","0","0","0","0","0","0","20","0","554","0","2","0","873","0","1","0","0","0","36","23","167","165","2347","2814","52","52","Las Vegas, Nevada USA","Guadalajara, Jalisco Mexico","3","red"
"0","0","1","0","0","0","0","9","0","4","10","27","6","25","10","107","6","104","10","42","7","37","46","29","13","8","0","257","0","227","45","197","13","145","8","0","8","0","0","0","1","24","1","23","49","0","14","0","56","328","20","272","0","0","96","264","9","709","801","147","0","473","3","492","0","0","0","0","0","0","0","400","804","156","0","73","897","411","1","2","0","2","34","30","185","187","2321","2105","111","120","Denver, Colorado USA","Arlington, Texas USA","3","red"
"0","0","4","0","0","0","1","0","0","0","4","0","2","0","8","0","6","0","12","0","10","0","50","0","14","0","13","0","13","0","54","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","37","0","0","0","96","0","0","0","209","0","0","0","594","0","0","0","0","0","0","0","0","0","222","0","0","0","305","0","1","0","0","0","38","38","172","172","1824","721","70","70","Albuquerque, New Mexico USA","Tokyo Japan","3","red"
"0","0","2","0","0","0","0","3","0","2","11","2","11","1","13","10","13","9","16","0","15","0","70","7","37","4","10","8","9","8","79","0","44","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","96","15","61","12","0","0","131","16","88","82","473","53","61","68","348","72","0","0","0","2","0","0","61","17","527","55","0","49","604","69","1","1","0","0","27","37","185","185","2030","2062","84","84","Melksham England","Gold Coast, Queensland Australia","3","blue"
"0","0","0","4","3","2","6","9","2","5","65","57","35","47","70","79","40","69","17","85","11","76","570","262","220","127","51","111","38","86","541","348","205","200","7","88","3","66","4","0","24","31","22","20","117","386","47","219","638","458","269","289","0","0","38","687","99","853","1482","1330","91","621","307","682","0","252","0","101","59","255","30","13","1488","1389","2","0","1520","2017","5","3","3","3","29","32","175","180","1983","1272","70","77","Wantagh, New York USA","Miami, Florida USA","3","blue"
"0","0","1","1","0","0","6","7","2","2","23","27","15","18","34","39","26","29","31","36","24","27","151","167","56","62","48","54","39","44","179","195","78","85","12","14","8","10","0","0","16","20","13","16","62","63","31","31","231","258","120","134","22","29","212","251","291","338","824","884","209","231","401","438","53","60","37","43","19","18","61","61","849","926","14","18","972","1129","0","0","0","0","24","0","162","167","2578","2572","56","61","Rio de Janerio Brazil","Rio de Janerio Brazil","3","blue"
"0","0","1","2","0","0","2","4","0","1","26","14","17","12","31","17","21","15","63","21","52","15","90","184","42","75","2","42","2","36","61","217","20","99","0","22","0","15","0","2","53","13","45","12","0","113","0","45","155","247","96","126","0","0","445","284","325","84","623","1079","0","41","218","433","0","0","0","0","0","6","0","34","696","1099","0","1","1068","1363","2","3","1","0","37","33","185","187","2009","516","93","93","London England","Boca Raton, Florida USA","3","red"
"0","0","0","0","0","0","2","2","0","0","7","9","5","6","11","13","8","9","10","12","8","9","50","55","18","20","16","18","13","14","59","65","26","28","4","4","2","3","0","0","5","6","4","5","20","21","10","10","77","86","40","44","7","9","70","83","97","112","274","294","69","77","133","146","17","20","12","14","6","6","20","20","283","308","4","6","324","376","0","0","0","0","29","33","180","177","2333","878","77","77","Muncie, Indiana USA","Yuma, Arizona USA","3","blue"
"0","0","0","5","0","0","0","0","0","0","0","15","0","5","0","15","0","5","0","12","0","8","0","137","0","42","0","5","0","4","0","111","0","24","0","71","0","30","0","0","0","0","0","0","0","79","0","28","0","154","0","54","0","0","0","68","0","4","0","637","0","0","0","195","0","0","0","0","0","0","0","0","0","645","0","0","0","705","0","1","0","0","30","34","187","185","2264","2005","84","84","Temecula, California United States","Southampton England","3","red"
"0","0","0","4","0","0","0","12","0","3","0","21","0","19","0","57","0","54","0","107","0","94","0","223","0","74","0","305","0","280","0","487","0","308","0","22","0","20","0","0","0","91","0","86","0","230","0","183","0","635","0","448","0","5","0","748","0","827","0","929","0","348","0","1026","0","178","0","0","0","14","0","151","0","1058","0","0","0","1677","0","3","0","1","28","33","175","170","2785","2293","61","61","Kenilworth, New Jersey United States","Glendale, Arizona USA","3","blue"
"0","0","3","0","0","0","13","2","3","0","7","18","6","15","20","23","18","20","25","46","20","43","131","56","33","28","16","42","14","42","147","93","45","67","0","6","0","4","0","1","5","28","4","26","0","43","0","23","172","144","67","113","0","0","327","327","204","249","560","654","45","32","197","537","2","0","5","0","0","0","18","32","589","667","20","0","887","981","3","2","0","0","29","28","177","190","2290","2302","84","84","Lower Burrell, Pennsylvania USA","Doncaster, Yorkshire England","3","red"
"1","0","2","0","6","2","19","3","9","1","71","16","51","11","88","17","67","12","65","56","40","40","429","204","170","101","117","29","92","22","470","251","191","134","20","7","11","7","0","6","53","21","44","17","63","12","28","7","611","289","302","163","192","75","353","105","879","144","2384","532","767","112","2134","115","154","2","190","0","24","0","207","30","2456","548","0","5","2737","637","8","6","3","0","33","28","172","175","509","1595","70","70","Sparta, New Jersey United States","Coconut Creek, Florida United States","3","red"
"0","0","0","6","5","6","12","0","7","0","39","49","24","37","47","59","32","47","34","21","23","14","215","177","63","85","122","43","105","41","301","150","141","67","5","21","2","14","1","0","19","32","14","26","138","55","94","26","371","241","191","140","23","0","204","281","1156","72","1411","953","1030","45","1207","488","426","0","192","0","78","6","236","12","1434","988","75","27","1615","1234","5","3","2","0","31","28","172","172","1978","2360","65","65","Spokane, Washington United States","Tijuana, Baja California Mexico","3","red"
"0","0","6","0","0","4","6","4","3","4","125","10","83","8","147","16","105","14","102","7","73","4","574","55","287","30","85","84","65","75","517","129","236","94","15","0","14","0","6","1","97","1","84","1","30","0","15","0","761","146","425","109","0","116","570","181","439","386","3248","703","259","368","490","371","70","1","62","0","0","0","103","203","3342","807","24","48","3818","884","8","4","3","4","35","28","182","180","2291","2015","77","77","Los Angeles, California United States","Reykjavik Iceland","3","red"
"0","0","0","3","0","0","8","2","0","0","3","20","2","11","3","33","2","23","6","12","4","10","19","168","4","37","7","49","4","33","29","172","10","37","0","46","0","29","0","0","0","12","0","9","0","184","0","64","32","229","12","80","0","0","155","286","150","299","111","989","0","258","144","824","0","91","0","128","0","36","0","0","115","1015","0","3","266","1275","1","3","0","0","26","32","177","172","2429","2185","70","70","Boulder, Colorado USA","Miami, FL USA","3","blue"
"0","0","0","4","0","0","0","11","0","4","0","17","0","8","0","20","0","11","0","17","0","11","0","42","0","14","0","16","0","8","0","47","0","16","0","31","0","26","0","0","0","0","0","0","0","56","0","30","0","75","0","33","0","226","0","444","0","471","0","616","0","365","0","441","0","58","0","23","0","56","0","0","0","728","0","2","0","1060","0","1","0","0","30","38","177","177","1683","356","70","70","Fontana, California USA","San Jose, CA USA","3","blue"
"0","0","11","2","1","0","18","6","5","3","56","18","46","15","68","23","58","20","84","37","57","28","326","209","139","88","137","71","115","60","472","271","246","135","20","22","15","15","1","3","7","23","7","21","189","113","88","45","547","317","311","176","51","0","827","363","575","357","2033","1164","487","292","975","684","0","0","277","105","0","6","159","179","2246","1191","0","2","2860","1527","5","5","3","2","37","33","187","187","1968","516","93","93","Danbury, Connecticut United States","Boca Raton, Florida USA","3","red"
"0","2","0","2","0","0","0","26","0","5","0","31","0","22","0","66","0","57","0","70","0","55","0","154","0","61","0","213","0","175","0","312","0","189","0","43","0","24","0","0","0","59","0","45","0","69","0","27","0","437","0","291","0","0","0","687","0","1533","0","1168","0","1093","0","1765","0","828","0","104","0","3","0","113","0","1296","0","45","0","1855","0","4","0","0","24","35","165","165","2848","2279","52","52","Westminster, Colorado USA","Belo Horizonte, MG Brazil","3","red"
"0","0","0","2","0","0","9","2","6","1","13","41","9","18","35","41","29","18","35","8","27","7","40","333","11","100","124","4","89","2","154","279","88","70","18","32","15","23","0","0","10","19","10","16","142","176","107","50","199","345","127","109","0","0","242","72","796","16","217","1546","582","9","613","164","228","0","88","0","106","6","0","3","240","1601","160","0","459","1618","2","2","1","1","30","23","177","167","2232","2118","61","56","Dallas, TX USA","Milwaukee, Wisconsin USA","3","red"
"0","0","0","1","0","0","1","17","1","3","0","35","0","13","0","97","0","72","0","29","0","20","3","132","2","47","0","126","0","115","3","138","2","68","0","56","0","30","0","0","0","52","0","42","2","84","1","24","3","287","2","182","0","0","14","178","18","107","36","711","7","0","7","11","7","0","0","0","0","0","0","0","39","761","0","0","50","889","1","2","0","0","34","37","182","180","485","405","84","77","Glendale, Arizona USA","Montreal, Quebec Canada","3","red"
"0","0","7","0","0","1","0","7","0","5","55","10","45","6","73","15","63","11","55","23","44","13","253","45","80","11","14","112","10","83","240","164","67","96","44","16","33","14","1","0","9","1","4","0","289","187","130","95","322","180","134","107","0","54","678","43","89","311","769","332","24","309","353","310","0","71","0","79","24","79","0","20","847","349","0","6","1447","375","2","1","2","1","29","29","167","154","2280","2338","52","52","Olsztyn Poland","Irvine, California United States","5","blue"
"0","0","1","2","0","1","15","5","3","3","29","5","17","3","33","5","21","3","26","3","22","2","127","37","50","9","12","6","12","5","115","39","48","12","12","0","7","0","0","0","8","2","6","1","68","0","22","0","165","46","84","16","0","35","457","95","413","112","1100","217","205","72","248","202","12","0","40","0","19","0","131","37","1165","250","3","0","1557","312","2","1","1","1","34","29","180","185","2160","2269","77","77","Zinzeli, Astrakhan Oblast Russia","Dublin Ireland","3","red"
"0","0","6","3","1","3","14","21","6","8","90","6","58","3","139","14","105","10","150","30","100","19","158","102","66","34","129","22","115","15","229","116","122","39","0","0","0","0","0","0","69","24","54","19","0","0","0","0","437","154","281","68","0","243","802","463","711","698","866","490","450","357","488","605","220","0","72","0","0","0","158","114","1063","509","0","0","1668","953","3","3","0","2","29","29","175","180","2089","2469","70","77","Gdynia Poland","Tres Rios, Rio de Janeiro Brazil","3","red"
"0","0","0","1","2","1","1","18","1","7","19","24","9","11","22","61","12","47","24","16","21","11","193","133","66","39","37","134","30","109","203","212","84","104","0","43","0","16","1","0","29","1","21","1","0","122","0","25","254","283","117","159","7","21","218","209","232","860","1038","860","192","699","193","732","12","112","50","264","0","5","104","231","1070","900","19","66","1256","1069","3","2","3","2","27","33","177","180","2502","2101","70","70","Fife Scotland","Rio de Janeiro Brazil","3","red"
"0","0","0","1","0","2","1","6","0","1","4","77","1","50","4","81","1","54","0","31","0","23","15","262","4","126","8","28","6","20","17","193","7","71","0","148","0","121","1","4","2","39","2","36","0","191","0","102","23","321","10","169","0","4","2","164","3","155","88","1606","3","109","3","115","0","1","0","91","0","11","3","2","90","1661","0","0","90","1770","1","4","1","4","28","33","180","185","1974","1076","65","77","Gilbert, Arizona USA","Albuquerque, New Mexico United States","3","red"
"0","0","0","3","0","0","0","1","0","0","1","14","0","7","1","15","0","8","0","14","0","13","8","104","5","36","0","7","0","7","3","103","1","42","0","11","0","9","0","1","4","7","4","6","0","65","0","40","8","125","5","56","0","0","0","27","0","6","0","809","0","1","0","24","0","0","0","0","0","1","0","0","0","809","0","0","0","836","1","2","0","0","32","32","175","172","520","875","70","70","London, Ontario Canada","Sunderland England","3","red"
"0","0","0","4","0","2","0","7","0","1","0","9","0","2","0","30","0","23","0","21","0","18","0","36","0","9","0","67","0","55","0","85","0","52","0","16","0","7","0","0","0","9","0","7","0","111","0","71","0","124","0","82","0","164","0","304","0","356","0","143","0","282","0","453","0","0","0","38","0","33","0","0","0","162","0","47","0","447","0","1","0","1","30","30","154","167","2278","1317","61","61","Ehime Japan","Las Vegas, Nevada United States","3","red"
"0","0","1","1","0","0","6","7","2","2","23","27","15","18","34","39","26","29","31","36","24","27","151","167","56","62","48","54","39","44","179","195","78","85","12","14","8","10","0","0","16","20","13","16","62","63","31","31","231","258","120","134","22","29","212","251","291","338","824","884","209","231","401","438","53","60","37","43","19","18","61","61","849","926","14","18","972","1129","0","0","0","0","24","30","170","175","2126","1143","61","56","Spartanburg, South Carolina USA","Dallas, TX USA","3","blue"
"0","0","0","1","0","1","0","5","0","3","0","4","0","3","0","5","0","3","0","12","0","6","0","81","0","29","0","1","0","0","0","79","0","24","0","0","0","0","0","0","0","10","0","8","0","0","0","0","0","94","0","35","0","13","0","210","0","153","0","392","0","47","0","286","0","0","0","0","0","0","0","34","0","411","0","0","0","602","0","2","0","1","33","29","182","180","2579","2469","77","77","Rancho Cucamonga, California United States","Tres Rios, Rio de Janeiro Brazil","3","red"
"0","0","0","0","0","0","3","5","1","2","13","18","8","12","20","26","14","20","18","24","14","18","78","115","29","43","28","40","23","32","95","138","42","62","6","10","4","7","0","0","9","13","8","11","28","48","14","24","126","180","67","95","10","22","127","180","175","258","414","611","126","186","247","324","38","50","22","36","9","16","34","47","436","637","9","12","542","788","0","0","0","0","37","36","167","172","2357","2356","61","61","San Antonio de Padua, Buenos Aires Argentina","Tijuana Mexico","3","red"
"0","0","0","0","0","0","7","0","3","0","8","0","5","0","10","0","7","0","11","0","8","0","35","0","6","0","58","0","44","0","94","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104","0","58","0","9","0","247","0","210","0","293","0","86","0","600","0","2","0","7","0","0","0","60","0","329","0","8","0","540","0","2","0","0","0","27","39","165","167","2235","2376","61","61","Alagir Russia","Visalia, California United States","3","red"
"0","0","1","2","0","0","1","19","1","2","5","15","3","14","6","22","4","21","9","45","7","31","116","326","33","121","9","58","7","38","126","387","41","152","1","29","1","22","2","1","2","8","2","8","44","403","16","213","134","429","47","190","0","0","4","228","101","315","804","2002","98","150","119","203","98","14","0","54","0","82","0","0","805","2021","0","0","808","2230","2","3","0","0","43","34","177","193","735","1852","120","109","Sydney Australia","Independence, Ohio USA","5","red"
"0","0","1","1","0","0","6","7","2","2","23","27","15","18","34","39","26","29","31","36","24","27","151","167","56","62","48","54","39","44","179","195","78","85","12","14","8","10","0","0","16","20","13","16","62","63","31","31","231","258","120","134","22","29","212","251","291","338","824","884","209","231","401","438","53","60","37","43","19","18","61","61","849","926","14","18","972","1129","0","0","0","0","30","28","175","175","2202","2201","65","65","Fort Lauderdale, Florida USA","Stuttgart Germany","3","blue"
"0","0","1","0","3","1","17","0","6","0","20","1","14","0","30","1","24","0","39","1","28","0","236","15","112","1","170","1","124","1","367","15","193","1","25","1","21","0","2","0","48","1","47","1","179","12","121","0","445","17","264","2","23","15","226","5","995","52","930","159","853","52","925","93","506","0","101","0","83","0","120","4","983","163","20","33","1156","164","4","2","0","0","33","38","177","180","1655","347","77","77","Washington, Illinois USA","Atlanta, Georgia United States","3","red"
"0","0","2","0","0","0","9","0","2","0","25","0","13","0","43","0","29","0","21","0","13","0","138","0","49","0","58","0","46","0","158","0","66","0","0","0","0","0","0","0","16","0","13","0","0","0","0","0","217","0","108","0","0","0","33","0","79","0","810","0","56","0","59","0","17","0","0","0","0","0","39","0","820","0","0","0","843","0","2","0","0","0","36","27","175","172","2041","2504","65","61","Glendale, Arizona USA","Lodz Poland","3","blue"
"0","0","1","1","0","2","2","26","0","10","23","71","10","33","28","82","15","43","66","49","53","35","136","495","43","124","10","48","4","30","108","447","23","102","85","76","74","44","0","1","76","63","62","44","130","323","44","118","212","592","100","189","0","111","285","277","243","562","736","1683","41","383","58","667","0","89","0","0","41","58","0","125","781","1763","0","0","1021","1960","2","3","0","0","29","24","175","180","2289","2312","65","65","Rio de Janeiro Brazil","Castle Dale, Utah USA","3","blue"
"0","0","0","0","0","0","0","0","0","0","25","0","13","0","25","0","13","0","13","0","7","0","99","0","34","0","31","0","23","0","112","0","45","0","0","0","0","0","1","0","6","0","6","0","0","0","0","0","143","0","64","0","0","0","35","0","37","0","710","0","36","0","131","0","0","0","0","0","0","0","36","0","711","0","0","0","745","0","2","0","1","0","33","35","195","190","2106","2424","113","106","Coconut Creek, Florida USA","Dagestan Russia","3","red"
"0","0","3","0","2","0","11","2","4","0","37","11","28","9","62","11","51","9","74","9","47","7","156","146","43","60","173","36","139","31","321","170","167","80","4","22","1","15","1","1","20","10","11","9","245","113","177","45","403","191","229","98","15","0","871","51","765","47","813","945","669","36","719","37","2","0","132","0","193","6","48","29","1214","952","279","1","1684","996","3","2","0","2","38","33","180","187","1409","516","93","93","San Jose, California USA","Boca Raton, Florida USA","5","blue"
"0","0","3","0","1","1","0","7","0","3","0","22","0","12","2","67","2","53","4","51","2","33","20","186","8","63","37","81","34","67","58","213","42","79","0","0","0","0","0","1","1","38","0","31","0","0","0","0","61","318","44","163","0","0","19","247","3","122","74","649","2","98","806","98","2","0","0","6","0","0","0","92","87","661","0","0","93","896","1","3","0","0","24","30","177","175","2724","2202","65","65","D'Iberville, Mississippi United States","Fort Lauderdale, Florida USA","3","blue"
"0","0","0","1","0","0","0","0","0","0","0","9","0","6","0","26","0","23","0","58","0","50","0","111","0","33","0","0","0","0","0","117","0","37","0","0","0","0","0","0","0","26","0","23","0","0","0","0","0","169","0","83","0","0","0","292","0","223","0","575","0","0","0","32","0","0","0","0","0","0","0","0","0","593","0","0","0","867","0","1","0","1","28","32","200","190","2492","2425","113","120","Moscow Russia","Fargo, North Dakota United States","3","blue"
"0","0","1","0","0","0","21","9","9","3","25","11","17","5","46","11","36","5","42","14","30","9","78","47","33","15","74","12","66","11","119","56","66","24","0","20","0","15","0","0","29","6","27","6","0","38","0","15","194","73","129","35","4","0","520","210","572","282","659","281","314","117","413","134","136","89","33","0","0","0","108","28","758","291","33","0","1179","491","2","2","0","0","28","28","172","180","2430","2315","65","65","Oceanside, New York USA","Dallas, Texas USA","3","draw"
"0","0","0","0","0","0","0","3","0","0","0","28","0","18","0","36","0","26","0","30","0","25","0","102","0","39","0","9","0","8","0","98","0","40","0","0","0","0","0","0","0","7","0","6","0","0","0","0","0","141","0","72","0","0","0","439","0","52","0","574","0","5","0","5","0","0","0","0","0","0","0","5","0","641","0","0","0","1013","0","2","0","0","27","34","190","187","2281","2300","93","93","Robbinsville, New Jersey United States","Warsaw Poland","3","blue"
"0","0","0","3","0","0","0","2","0","1","0","17","0","13","0","53","0","48","0","108","0","101","0","157","0","38","0","5","0","5","0","206","0","85","0","0","0","0","0","0","0","11","0","11","0","0","0","0","0","270","0","144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","26","30","172","180","2238","2230","65","65","Los Angeles, California USA","Glendale, Arizona United States","3","no contest"
"1","0","0","2","1","0","6","3","3","1","5","61","2","34","7","75","3","48","5","27","3","14","15","189","6","88","7","86","7","68","17","175","12","80","0","0","0","0","0","1","3","52","1","42","0","0","0","0","27","302","16","170","0","0","173","82","281","192","252","752","205","166","548","191","0","52","52","46","0","0","138","68","264","760","15","0","425","834","1","3","0","0","32","37","180","185","525","1549","77","77","Tokyo Japan","Albuquerque, New Mexico USA","3","blue"
"0","0","6","1","1","1","1","4","1","3","50","9","26","8","54","16","30","15","28","17","21","16","260","151","82","49","29","12","21","11","239","152","78","50","65","27","38","18","1","0","13","12","10","11","162","161","66","74","317","180","124","76","2","0","421","121","148","38","1334","753","90","4","693","420","0","0","8","0","80","4","0","0","1425","771","0","0","1755","874","3","2","0","0","28","35","177","172","1755","1689","65","61","Miami, Florida United States","Buena Park, California USA","3","red"
"0","0","1","1","0","1","5","8","2","3","20","28","13","19","30","40","22","30","28","36","21","28","118","173","44","65","43","60","35","49","143","207","64","93","10","16","6","11","0","0","14","20","12","17","42","72","21","37","190","270","101","143","16","33","191","270","263","388","621","917","190","279","371","487","58","75","34","55","14","24","52","71","654","956","14","19","813","1182","0","0","0","0","34","30","172","170","1054","1052","65","65","Chicago, Illinois USA","Rio de Janeiro Brazil","5","red"
"0","0","2","5","1","0","4","3","3","2","9","23","6","11","12","26","9","14","23","22","16","10","125","216","36","83","52","35","39","24","186","227","80","90","12","0","9","0","0","1","2","20","2","13","192","0","92","0","200","273","91","117","0","0","66","158","347","148","791","1102","334","144","455","584","100","5","115","10","85","0","34","129","827","1124","0","0","857","1260","2","2","2","1","31","37","170","162","2220","2196","61","56","Ventura, California USA","Dublin Ireland","3","red"
"1","0","3","0","0","0","3","34","1","10","96","60","64","38","111","71","78","49","98","101","85","75","625","302","297","119","87","45","71","36","628","346","315","153","7","4","1","3","8","0","71","31","60","28","28","195","9","121","810","448","453","230","0","0","618","626","386","740","2275","1967","287","225","628","332","80","74","51","33","0","0","147","103","2349","2052","9","15","2893","2593","7","4","1","3","28","33","175","175","2057","890","70","70","Dublin Ireland","Boca Raton, Florida United States","5","blue"
"0","0","0","0","0","0","3","0","2","0","12","10","6","9","28","11","22","10","34","19","26","16","91","8","40","2","50","3","46","3","102","18","60","10","63","0","43","0","0","0","0","0","0","0","137","0","88","0","175","30","112","21","0","0","155","0","287","0","492","0","253","0","253","0","0","0","235","0","6","0","0","0","543","0","12","0","647","0","1","1","1","1","32","30","167","170","1839","1828","61","61","San Jose, California USA","Venice, California USA","5","red"
"0","0","0","0","0","0","2","2","0","0","7","9","5","6","11","13","8","9","10","12","8","9","50","55","18","20","16","18","13","14","59","65","26","28","4","4","2","3","0","0","5","6","4","5","20","21","10","10","77","86","40","44","7","9","70","83","97","112","274","294","69","77","133","146","17","20","12","14","6","6","20","20","283","308","4","6","324","376","0","0","0","0","33","29","177","177","1655","2000","77","77","Washington, Illinois USA","Santo Andre, Sao Paulo Brazil","3","blue"
"0","0","0","2","1","3","0","21","0","14","2","17","1","12","2","28","1","23","0","23","0","21","11","86","3","39","0","104","0","84","8","167","2","106","0","52","0","34","0","0","1","18","0","15","0","168","0","131","11","213","3","144","0","10","1","291","0","1091","73","506","0","931","112","1350","0","400","0","219","0","254","0","6","74","615","0","42","74","797","1","3","0","0","32","24","162","170","2135","2126","56","61","St. Charles, Missouri USA","Spartanburg, South Carolina USA","3","red"
"0","0","0","3","0","3","2","27","2","15","22","107","14","85","28","126","20","103","8","176","7","145","115","224","44","105","30","122","21","110","113","301","40","189","2","23","2","18","1","0","12","95","12","68","70","52","29","45","153","522","72","360","0","0","47","385","85","1099","1072","735","75","810","76","827","0","135","0","62","0","88","71","316","1092","784","4","209","1119","1120","2","3","2","3","32","30","160","160","1904","1495","61","56","Albuquerque, New Mexico USA","Parkland, WA USA","5","red"
"0","0","0","0","3","1","2","2","1","2","11","1","9","1","22","3","20","3","32","3","28","1","27","7","14","4","16","11","15","10","50","12","34","9","0","0","0","0","0","0","3","6","3","3","0","0","0","0","75","21","57","15","0","23","160","53","136","184","63","55","107","138","191","138","0","0","47","93","0","0","18","22","79","62","42","0","223","108","1","1","1","1","29","25","193","190","2834","2840","93","93","Coatbridge Scotland","Sydeny  Australia ","3","red"
"0","0","1","0","0","0","10","0","4","0","13","0","11","0","28","0","26","0","91","0","78","0","45","0","15","0","53","0","48","0","129","0","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","189","0","141","0","0","0","384","0","639","0","199","0","294","0","318","0","86","0","5","0","0","0","200","0","216","0","3","0","583","0","1","0","1","0","31","32","172","182","2190","2092","65","65","Baguio City Philippines","Florianopolis Brazil","3","red"
