CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 44.425781 1543728540.8166
MEM 44.425781 1543728540.9200
MEM 44.425781 1543728541.0232
MEM 44.425781 1543728541.1284
MEM 44.425781 1543728541.2305
MEM 44.425781 1543728541.3309
MEM 44.425781 1543728541.4334
MEM 44.425781 1543728541.5351
MEM 44.425781 1543728541.6368
MEM 44.425781 1543728541.7402
MEM 44.425781 1543728541.8408
MEM 44.425781 1543728541.9460
MEM 44.425781 1543728542.0465
MEM 44.425781 1543728542.1475
MEM 44.425781 1543728542.2502
MEM 44.425781 1543728542.3516
MEM 44.425781 1543728542.4553
MEM 44.425781 1543728542.5562
MEM 44.425781 1543728542.6614
MEM 44.425781 1543728542.7641
MEM 44.425781 1543728542.8669
MEM 44.425781 1543728542.9720
MEM 44.425781 1543728543.0760
MEM 44.425781 1543728543.1808
MEM 44.425781 1543728543.2859
MEM 44.425781 1543728543.3862
MEM 44.425781 1543728543.4914
MEM 44.425781 1543728543.5965
MEM 44.425781 1543728543.7015
MEM 44.425781 1543728543.8055
MEM 44.425781 1543728543.9107
MEM 44.425781 1543728544.0141
MEM 44.425781 1543728544.1180
MEM 44.425781 1543728544.2225
MEM 44.425781 1543728544.3276
MEM 44.425781 1543728544.4285
MEM 44.425781 1543728544.5288
MEM 44.425781 1543728544.6340
MEM 44.425781 1543728544.7390
MEM 44.425781 1543728544.8442
MEM 44.425781 1543728544.9460
MEM 44.425781 1543728545.0463
MEM 44.425781 1543728545.1508
MEM 44.425781 1543728545.2515
MEM 44.425781 1543728545.3519
MEM 44.425781 1543728545.4571
MEM 44.425781 1543728545.5616
MEM 44.425781 1543728545.6639
MEM 44.425781 1543728545.7676
MEM 44.425781 1543728545.8727
MEM 44.425781 1543728545.9779
MEM 44.425781 1543728546.0806
MEM 44.425781 1543728546.1842
MEM 44.425781 1543728546.2893
MEM 44.425781 1543728546.3918
MEM 44.425781 1543728546.4967
MEM 44.425781 1543728546.6015
MEM 44.425781 1543728546.7067
MEM 44.425781 1543728546.8079
MEM 44.425781 1543728546.9130
MEM 44.425781 1543728547.0133
MEM 44.425781 1543728547.1174
MEM 44.425781 1543728547.2226
MEM 44.425781 1543728547.3277
MEM 44.425781 1543728547.4280
MEM 44.425781 1543728547.5291
MEM 44.425781 1543728547.6302
MEM 44.425781 1543728547.7342
MEM 44.425781 1543728547.8394
MEM 44.425781 1543728547.9445
MEM 44.425781 1543728548.0468
MEM 44.425781 1543728548.1503
MEM 44.425781 1543728548.2509
MEM 44.425781 1543728548.3530
MEM 44.425781 1543728548.4567
MEM 44.425781 1543728548.5572
MEM 44.425781 1543728548.6624
MEM 44.425781 1543728548.7657
MEM 44.425781 1543728548.8679
MEM 44.425781 1543728548.9730
MEM 44.425781 1543728549.0734
MEM 44.425781 1543728549.1780
MEM 44.425781 1543728549.2819
MEM 44.425781 1543728549.3831
MEM 44.425781 1543728549.4883
MEM 44.425781 1543728549.5905
MEM 44.425781 1543728549.6956
MEM 44.425781 1543728549.7974
MEM 44.425781 1543728549.9013
MEM 44.425781 1543728550.0064
MEM 44.425781 1543728550.1116
MEM 44.425781 1543728550.2136
MEM 44.425781 1543728550.3178
MEM 44.425781 1543728550.4180
MEM 44.425781 1543728550.5232
MEM 44.425781 1543728550.6246
MEM 44.425781 1543728550.7273
MEM 44.425781 1543728550.8306
MEM 44.425781 1543728550.9346
MEM 44.425781 1543728551.0347
MEM 44.425781 1543728551.1349
MEM 44.425781 1543728551.2401
MEM 44.425781 1543728551.3439
MEM 44.425781 1543728551.4469
MEM 44.425781 1543728551.5513
MEM 44.425781 1543728551.6514
MEM 44.425781 1543728551.7566
MEM 44.425781 1543728551.8575
MEM 44.425781 1543728551.9581
MEM 44.425781 1543728552.0626
MEM 44.425781 1543728552.1633
MEM 44.425781 1543728552.2678
MEM 44.425781 1543728552.3681
MEM 44.425781 1543728552.4707
MEM 44.425781 1543728552.5716
MEM 44.425781 1543728552.6723
MEM 44.425781 1543728552.7741
MEM 44.425781 1543728552.8760
